rv0524	29.44	175	209	0.8727
rv0525	27.72	58	80	0.6663
rv0526	26.39	194	216	0.8633
rv0527	6.18	165	174	0.636
rv0528	23.06	312	341	0.7508
rv0529	11.73	47	62	0.821
rv0530	41.98	66	107	0.836
rv0530a	58.49	37	53	0.7617
rv0531	38.10	76	105	0.9172
rv0532	60.27	110	184	0.9126
rv0533c	25.67	281	303	0.7258
rv0534c	20.89	78	101	0.6959
rv0535	18.94	92	106	0.7181
rv0536	24.57	33	51	0.7341
rv0537c	19.50	433	477	0.8044
rv0538	64.78	323	545	0.9584
rv0539	56.67	72	138	0.7307
rv0540	29.09	157	175	0.6775
rv0541c	0.00	0	0	0
rv0542c	41.99	145	181	0.7627
rv0543c	23.00	86	100	0.8584
rv0544c	1.09	92	92	0.6303
rv0545c	25.90	377	409	0.8791
rv0546c	32.81	109	128	0.6834
rv0547c	29.93	94	122	0.6253
rv0548c	16.56	226	239	0.6269
rv0551c	33.80	502	571	0.72
rv0552	26.59	421	472	0.7799
rv0553	42.64	153	175	0.6478
rv0554	8.02	57	69	0.6396
rv0555	45.13	67	116	0.7176
rv0556	20.47	157	171	0.8817
rv0557	24.87	183	210	0.802
rv0558	26.50	32	53	0.8164
rv0559c	20.54	11	21	0.636
rv0560c	36.93	78	110	0.6408
rv0561c	31.62	381	408	0.8822
rv0562	25.07	224	253	0.7645
rv0563	35.66	200	250	0.7249
rv0564c	36.07	117	159	0.7767
rv0565c	13.58	446	463	0.7324
rv0566c	54.60	107	147	0.832
rv0567	16.52	30	45	0.6611
rv0568	33.90	423	472	0.8952
rv0569	28.41	53	72	0.7188
rv0570	25.43	122	148	0.6714
rv0571c	25.28	345	373	0.6118
rv0572c	46.90	1	33	0.8099
rv0573c	25.27	367	401	0.6447
rv0574c	28.16	318	342	0.6453
rv0575c	9.02	318	328	0.5913
rv0576	27.19	51	68	0.7108
rv0577	32.57	46	77	0.9246
rv0578c	85.83	222	630	0.9601
rv0579	22.62	162	174	0.5721
rv0580c	19.63	124	133	0.7063
rv0583c	37.72	30	60	0.899
rv0584	17.10	757	793	0.7091
rv0585c	17.99	442	478	0.76
rv0590a	25.00	12	22	0.5542
rv0597c	24.82	80	104	0.6699
rv0600c	36.31	108	168	0.7272
rv0601c	35.26	69	98	0.7159
rv0602c	33.60	24	51	0.6519
rv0603	60.19	24	74	0.7417
rv0604	30.70	169	195	0.8265
rv0605	31.19	44	73	0.7357
rv0606	45.75	171	220	0.7937
rv0607	15.62	89	101	0.6236
rv0609a	40.00	59	75	0.8546
rv0610c	40.00	18	70	0.7445
rv0611c	25.98	1	18	0.838
rv0612	55.72	108	152	0.8166
rv0613c	34.39	96	151	0.6506
rv0614	39.70	4	68	0.8137
